阿拉伯語,阿拉伯语,Ā lā bó yǔ,"Arabic (language)"
核對,核对,hé duì,"to check, to verify, to audit, to examine"
核能,核能,hé néng,"nuclear energy"
核實,核实,hé shí,"to verify, to check"
核桃,核桃,hé tao,"walnut, CL:個|个[ge4],棵[ke1]"
核武器,核武器,hé wǔ qì,"nuclear weapon"
賀電,贺电,hè diàn,"congratulatory telegram"
賀信,贺信,hèxìn,"Congratulate"
喝彩,喝彩,hè cǎi,"to acclaim, to cheer"
赫然,赫然,hè rán,"with astonishment, with a shock, awe-inspiringly, impressively, furiously (angry)"
鶴立雞群,鹤立鸡群,hè lì jī qún,"a crane in a flock of chicken (idiom), way above the common, manifestly superior"
黑白,黑白,hēibái,"black and white, right and wrong, good and bad"
黑客,黑客,hēi kè,"hacker (computing) (loanword)"
黑馬,黑马,hēi mǎ,"dark horse, fig. unexpected winner"
黑手,黑手,hēishǒu,"Blackman"
黑心,黑心,hēi xīn,"ruthless and lacking in conscience, vicious mind full of hatred and jealousy, black core (flaw in pottery)"
嘿,嘿,hēi,hey!
痕跡,痕迹,hénjī,"spark, taint, scrape, show, imprint, trace, vestige, spoor, sign, track, nick, mark, print, scar, scratch, scent, ash, vestigial, trail, impression"
恨不得,恨不得,hèn bu de,"wishing one could do sth, to hate to be unable, itching to do sth"
哼,哼,hēng,humph!
橫七豎八,横七竖八,héng qī shù bā,"in disorder, at sixes and sevens (idiom)"
橫向,横向,héng xiàng,"horizontal, orthogonal, perpendicular, lateral, crosswise"
橫,横,héng, hèng,"horizontal, across, (horizontal character stroke), harsh and unreasonable, unexpected"
轟,轰,hōng,"explosion, bang, boom, rumble, to attack, to shoo away, to expel"
轟動,轰动,hōng dòng,"to cause a sensation, to create a stir in (a place), commotion, controversy"
轟炸,轰炸,hōngzhà,bomb
鬨,哄,hōng, hǒng, hòng, hòng,"roar of laughter (onom.), hubbub, to roar (as a crowd), to deceive, to coax, to amuse (a child), tumult, uproar, commotion, disturbance"
哄堂大笑,哄堂大笑,hōng táng dà xiào,"the whole room roaring with laughter (idiom)"
烘乾,烘干,hōng gān,"to dry over a stove"
烘托,烘托,hōng tuō,"background (of a painting), backdrop, a foil (to set off something to advantage), to offset (something to advantage)"
弘揚,弘扬,hóng yáng,"to enhance, to promote, to enrich"
紅燈,红灯,hóng dēng,"red light"
紅火,红火,hóng huǒ,"prosperous"
紅撲撲,红扑扑,hóng pū pū,"red, rosy, flushed"
紅潤,红润,hóng rùn,"ruddy, rosy, florid"
紅薯,红薯,hóng shǔ,"sweet potato"
紅眼,红眼,hóngyǎn,"Red eye"
宏觀,宏观,hóng guān,"macro-, macroscopic, holistic"
宏偉,宏伟,hóng wěi,"grand, imposing, magnificent"
洪亮,洪亮,hóng liàng,"loud and clear, resonant"
喉嚨,喉咙,hóulóng,throat
吼,吼,hoǔ,"to roar, to howl, to shriek, roar or howl of an animal, bellow of rage"
後備,后备,hoù bèi,"reserve, backup"
後備箱,后备箱,hoù bèi xiāng,"trunk, boot (of a car)"
後代,后代,hòudài,"descendant, posterity, descendants, later generations, ages, limb, later ages, get, descendent, later periods, offspring, later periods in history, progeny"
後盾,后盾,hoù dùn,"support, backing"
後顧之憂,后顾之忧,hoù gù zhī yoū,"fears of trouble in the rear (idiom), family worries (obstructing freedom of action), worries about the future consequences, often in negative expressions, meaning 'no worries about anything'"
後期,后期,hoù qī,"late stage, later period"
後勤,后勤,hoù qín,"logistics"
後人,后人,hòurén,"posperity, descendants, posterity, later generations"
後台,后台,hoù tái,"backstage area, behind-the-scenes supporter, (computing) back-end, background"
後退,后退,hoù tuì,"to recoil, to draw back, to fall back, to retreat"
後續,后续,hòuxù,follow up
後遺症,后遗症,hòuyízhèng,"aftereffect, hangover, sequela, sequelae"
後裔,后裔,hoù yì,"descendant"
後者,后者,hòuzhě,"latter, the latter"
厚道,厚道,hoù dao,"kind and honest, generous, sincere"
厚度,厚度,hoù dù,"thickness"
候選人,候选人,hòuxuǎnrén,"aspirant, nominee, campaigner, candidate, candidate (for election)"
呼風喚雨,呼风唤雨,hū fēng huàn yǔ,"to call the wind and summon the rain (idiom), to exercise magical powers, fig. to stir up troubles"
呼喚,呼唤,hū huàn,"to call out (a name etc), to shout"
呼救,呼救,hū jiù,"to call for help"
呼聲,呼声,hū shēng,"a shout, fig. opinion or demand, esp. expressed by a group"
呼應,呼应,hū yìng,"to conform (with), to echo, to correlate well, (linguistics) agreement"
呼籲,呼吁,hū yù,"to call on (sb to do sth), to appeal (to), an appeal"
忽高忽低,忽高忽低,hūgāohūdī,"I suddenly"
忽悠,忽悠,hū you,"to rock, to sway, to flicker (e.g. of lights reflected on water), to flutter (e.g. of a flag), to trick sb into doing sth, to dupe, to con"
胡鬧,胡闹,hú nào,"to act willfully and make a scene, to make trouble"
胡說,胡说,hú shuō,"to talk nonsense, drivel"
胡思亂想,胡思乱想,hú sī luàn xiǎng,"to indulge in flights of fancy (idiom), to let one's imagination run wild"
湖泊,湖泊,hú pō,"lake"
餬,糊,hú, hú, hù, hú,"congee, making a living, paste, cream"
糊塗,糊涂,hú tu,"muddled, silly, confused"
互補,互补,hù bǔ,"complementary, to complement each other"
互訪,互访,hù fǎng,"exchange visits"
互信,互信,hù xìn,"mutual trust"
互助,互助,Hù zhù, hù zhù,"Huzhu Tuzu autonomous county in Haidong prefecture 海東地區|海东地区[Hai3 dong1 di4 qu1], Qinghai, to help each other"
護理,护理,hùlǐ,nursing
花瓣,花瓣,huā bàn,"petal, CL:片[pian4]"
花卉,花卉,huā huì,"flowers and plants"
花紋,花纹,huā wén,"decorative design"
花樣,花样,huāyàng,"pattern, variety"
划算,划算,huá suàn,"to calculate, to weigh (pros and cons), to view as profitable, worthwhile, value for money, cost-effective"
華麗,华丽,huálì,"magnificent, gorgeous"
華僑,华侨,huá,overseas Chinese
華裔,华裔,huáyì,foreign citizen of Ch. origin
嘩變,哗变,huá biàn,"mutiny, rebellion"
譁然,哗然,huá rán, huá rán,"variant of 嘩然|哗然[hua2 ran2]"
滑冰,滑冰,huá bīng,"to skate, skating"
滑稽,滑稽,huá jī,"comical, funny, amusing, old pr. [gu3 ji1], huaji, a form of comedy performance popular in Shanghai, Jiangsu and Zhejiang"
滑梯,滑梯,huá tī,"(children's) sliding board, a slide"
滑雪,滑雪,huá xuě,"to ski, skiing"
化肥,化肥,huà féi,"fertilizer"
化身,化身,huà shēn,"incarnation, reincarnation, embodiment (of abstract idea), personification"
化纖,化纤,huà xiān,"synthetic fiber"
化險為夷,化险为夷,huà xiǎn wéi yí,"to turn peril into safety (idiom), to avert disaster"
化驗,化验,huà yàn,"laboratory test, chemical experiment, assay"
化妝,化妆,huàzhuāng,"make_up, bepaint, masquerade, put on make-up, make up, apply makeup, titivate"
劃時代,划时代,huà shí dài,"epoch-marking"
畫冊,画册,huà cè,"picture album"
畫龍點睛,画龙点睛,huà lóng diǎn jīng,"to paint a dragon and dot in the eyes (idiom), fig. to add the vital finishing touch, the crucial point that brings the subject to life, a few words to clinch the point"
畫蛇添足,画蛇添足,huà shé tiān zú,"lit. draw legs on a snake (idiom), fig. to ruin the effect by adding sth superfluous, to overdo it"
畫展,画展,huàzhǎn,"art/paintings exhibition, art_exhibition, exhibition of paintings, art exhibition, art, paintings exhibition"
話費,话费,huà fèi,"call charge"
話筒,话筒,huà tǒng,"microphone, (telephone) receiver, handset"
話語,话语,huàyǔ,"utterance, discourse, word, speech, spoken language, endearment, remark"
懷抱,怀抱,huáibào,"ambition, embrace"
懷舊,怀旧,huái jiù,"fond remembrance of times past, nostalgia"
懷裡,怀里,huái lǐ,"embrace, bosom"
懷孕,怀孕,huáiyùn,"gravid, expect, in a family way, with child, pregnant, be pregnant, gestate, impregnate, carry, bear, carry to term, be expecting, conceive"
懷著,怀着,huáizháo,"Be with"
槐樹,槐树,huái shù,"locust tree (Sophora japonica)"
壞事,坏事,huàishì,"rascality, evildoing, misdoing, villainy, roguery, bad thing, malfeasance, evil deed, caper"
歡呼,欢呼,huān hū,"to cheer for, to acclaim"
歡聚,欢聚,huān jù,"to get together socially, to celebrate, party, celebration"
歡快,欢快,huān kuài,"cheerful and lighthearted, lively"
歡聲笑語,欢声笑语,huānshēngxiàoyǔ,"Laughter"
還款,还款,huán kuǎn,"repayment, to pay back money"
還原,还原,huán yuán,"to restore to the original state, to reconstruct (an event), reduction (chemistry)"
環球,环球,huán qiú,"around the world, worldwide"
環繞,环绕,huánrào,"circle, environ, encincture, encirclement, hoop, surround, cincture, gird, circumvolute, sphere, skirt, encircle, circumfluent, enwreathe, revolve around, border, girdle, girth, enring, rim"
緩,缓,huǎn,"slow, unhurried, sluggish, gradual, not tense, relaxed, to postpone, to defer, to stall, to stave off, to revive, to recuperate"
緩和,缓和,huǎnhé,"relax, ease up, mitigate, appease"
緩緩,缓缓,huǎnhuǎn,"postpone, postponement, little by little, slowly, put off, gradually, delay"
緩慢,缓慢,huǎnmàn,"largo, slow"
幻覺,幻觉,huàn jué,"illusion, hallucination, figment of one's imagination"
幻影,幻影,huàn yǐng,"phantom, mirage"
換成,换成,huànchéng,change to
換取,换取,huànqǔ,"get in return, buy, exchange ... for, barter ... for, exchange sth. for, exchange"
換位,换位,huànwèi,"transposition"
換言之,换言之,huànyánzhī,in other words
喚起,唤起,huànqǐ,"arouse, call, recall"
患,患,huàn,contract (an illness)
患病,患病,huàn bìng,"to fall ill"
患有,患有,huàn yoǔ,"to contract (an illness), to be afflicted with, to suffer from"
煥發,焕发,huàn fā,"to shine, to glow, to irradiate, to flash"
荒,荒,huāng,"desolate, shortage, scarce, out of practice, absurd, uncultivated, to neglect"
荒誕,荒诞,huāng dàn,"beyond belief, incredible, preposterous, fantastic"
荒涼,荒凉,huāng liáng,"desolate"
荒謬,荒谬,huāngmiù,"absurd, preposterous"
慌亂,慌乱,huāng luàn,"frenetic, hurried"
慌張,慌张,huāng zhāng,"confused, flustered"
皇宮,皇宫,huáng gōng,"imperial palace"
皇后,皇后,huánghòu,"kaiserin, queen consort, queen, empress, queen_consort, Kaiserin"
皇上,皇上,huáng shang,"the emperor, Your majesty the emperor, His imperial majesty"
皇室,皇室,huángshì,"imperial family/house, royalty, imperial house, royal_family, imperial family, royal house, royal line, house, royal family"
黃昏,黄昏,huáng hūn,"dusk, evening, nightfall"
恍然大悟,恍然大悟,huǎng rán dà wù,"to suddenly realize, to suddenly see the light"
晃,晃,huǎng, huǎng, huàng,"to dazzle, to flash past, to sway, to shake, to wander about"
謊話,谎话,huǎng huà,"lie"
謊言,谎言,huǎng yán,"lie"
晃蕩,晃荡,huàng dang,"to rock, to sway, to shake"
灰,灰,huī,"ash, dust"
灰塵,灰尘,huī chén,"dust"
灰心,灰心,huī xīn,"to lose heart, to be discouraged"
揮,挥,huī,"to wave, to brandish, to command, to conduct, to scatter, to disperse"
輝煌,辉煌,huīhuáng,"glorious, effulgent, brilliant"
回歸,回归,huíguī,"reunification, return, regressive, regress"
回扣,回扣,huí koù,"brokerage, a commission paid to a middleman, euphemism for a bribe, a kickback"
回饋,回馈,huíkuì,"reward, feedback"
回落,回落,huí luò,"to fall back, to return to low level after a rise (in water level, price etc)"
回升,回升,huíshēng,"rise again (after a fall), pick up"
回首,回首,huí shoǔ,"to turn around, to look back, to recollect"
回味,回味,huí wèi,"to reflect on, to ponder over, aftertaste"
回想,回想,huíxiǎng,"look_back, retrospect, recur, recollection, cut back, think back, echo, remember, reflect, recollect, recall, recapture, go back, flash_back, commemorate, retroject, retrace, flash back"
回憶錄,回忆录,huí yì lù,"memoir"
悔恨,悔恨,huǐ hèn,"remorse, repentance"
毀壞,毁坏,huǐ huài,"to damage, to devastate, to vandalize, damage, destruction"
毀滅,毁灭,huǐ miè,"to perish, to ruin, to destroy"
匯合,汇合,huì hé,"confluence, to converge, to join, to fuse, fusion"
彙集,汇集,huì jí, huì jí,"to collect, to compile, to converge"
匯聚,汇聚,huì jù,"convergence, to come together"
會場,会场,huìchǎng,"assembly_hall, fraternity house, conference, assembly hall, conference/assembly hall, theater, meeting-place, chapterhouse, meeting place, venue, conference hall, frat house"
會面,会面,huì miàn,"to meet with, meeting"
會晤,会晤,huì wù,"to meet, meeting, conference"
會意,会意,huì yì,"combined ideogram (one of the Six Methods 六書|六书[liu4 shu1] of forming Chinese characters), Chinese character that combines the meanings of existing elements, also known as joint ideogram or associative compounds, to comprehend without being told explicitly, to cotton on, knowing (smile, glance etc)"
會診,会诊,huì zhěn,"consultation (medical), to meet for diagnosis, (by extension) consultation of different specialists"
繪聲繪色,绘声绘色,huì shēng huì sè,"vivid and colorful (idiom), true to life, lively and realistic"
賄賂,贿赂,huì lù,"to bribe, a bribe"
昏迷,昏迷,hūn mí,"to lose consciousness, to be in a coma, stupor, coma, stunned, disoriented"
婚紗,婚纱,hūnshā,"gown, wedding dress"
婚姻,婚姻,hūnyīn,"connubiality, wedlock, marital, union, marriage, married couple, matrimonial, match, man and wife, matrimony"
渾身,浑身,hún shēn,"all over, from head to foot"
魂,魂,hún, hún,"soul, spirit, immortal soul, i.e. that can be detached from the body"
混凝土,混凝土,hùnníngtǔ,concrete
混淆,混淆,hùn xiáo,"to obscure, to confuse, to mix up, to blur, to mislead"
混濁,混浊,hùn zhuó,"turbid, muddy, dirty"
豁,豁,huá, huō, huò,"to play Chinese finger-guessing game, opening, stake all, sacrifice, crack, slit, clear, open, exempt (from), liberal-minded"
豁出去,豁出去,huō chu qu,"to throw caution to the wind, to press one's luck, to go for broke"
活該,活该,huó gāi,"(coll.) serve sb right, deservedly, ought, should"
活期,活期,huó qī,"(banking) current (account), checking (account), demand (deposit etc)"
活兒,活儿,huór,"work, (lots of) things to do"
火暴,火暴,huǒ bào,"variant of 火爆[huo3 bao4]"
火鍋,火锅,huǒ guō,"hotpot"
火候,火候,huǒ hoù,"heat control, maturity, crucial moment"
火花,火花,huǒ huā,"spark, sparkle"
火炬,火炬,huǒ jù,"a torch, CL:把[ba3]"
火辣辣,火辣辣,huǒ là là,"painful heat, scorching, painful heat, rude and forthright, provocative, hot, sexy"
火熱,火热,huǒ rè,"fiery, burning, fervent, ardent, passionate"
火山,火山,huǒshān,volcano
火速,火速,huǒ sù,"at top speed, at a tremendous lick"
火焰,火焰,huǒ yàn,"blaze, flame"
火藥,火药,huǒ yào,"gunpowder"
伙食,伙食,huǒ shí,"food, meals"
或多或少,或多或少,huò duō huò shǎo,"more or less"
貨幣,货币,huòbì,"coinage, mintage, tin, coin, currency, specie, monetary, money, metal money, piece"
貨車,货车,huò chē,"truck, van, freight wagon"
貨物,货物,huòwù,"portage, freight, hotshot, shipment, transit, payload, lading, load, commodity, traffic, salework, shipload, bale, consignment, ware, store, cargo, goods, loading, article, merchandise, invoice, charge, freightage"
