阿拉伯語	阿拉伯语	Ālābóyǔ	Arabic (language)
高低	高低	gāodī	height, altitude (aviation), pitch (music), ups and downs (success or failure), whether sth is right or wrong, comparative strength, weight, depth, stature, (spoken interjection) anyway, whatever, eventually, in the end
高調	高调	gāodiào	high-sounding speech, bombast, high-profile
高額	高额	gāoé	high quota, large amount
高爾夫球	高尔夫球	gāoěrfūqiú	golf ball
高貴	高贵	gāoguì	noble, high
高峰期	高峰期	gāofēngqī	peak period, rush hour
高空	高空	gāokōng	high altitude, upper air
高齡	高龄	gāolíng	elderly
高明	高明	gāomíng	brilliant, wise
高山	高山	gāoshān	jebel, high mountain, mountain, alp, mount, ben
高效	高效	gāoxiào	efficient, highly effective
高新技術	高新技术	gāoxīn jìshù	High-tech
高血壓	高血压	gāoxuèyā	high_blood_pressure, high blood pressure, hypertension
高壓	高压	gāoyā	high pressure, high voltage/tension, coercion, tyranny
高雅	高雅	gāoyǎ	dainty, elegance, elegant
高漲	高涨	gāozhàng	to surge up, to rise, (of tensions etc) to run high
搞鬼	搞鬼	gǎo guǐ	to make mischief, to play tricks in secret
搞笑	搞笑	gǎoxiào	funny, hilarious
告	告	gào	accuse, go to law against
告辭	告辞	gàocí	to say goodbye, to take one's leave
告誡	告诫	gàojiè	to warn, to admonish
告示	告示	gàoshi	announcement
告知	告知	gàozhī	acknowledge, expose, divulge, disclose, intimation, notify, impart, inform, communicate, apprize, notification, advise, give notice, assure, reveal, let on, tell, discover, acquaint, let out, send word, declare, instruct, apprise, break, give away, bring out
告狀	告状	gào zhuàng	to tell on sb, to complain (to a teacher, a superior etc), to bring a lawsuit
戈壁	戈壁	gēbì	Gobi (desert)
胳膊	胳膊	gēbo	arm, CL:隻|只[zhi1],條|条[tiao2],雙|双[shuang1]
鴿子	鸽子	gēzi	pigeon, dove, various birds of the family Columbidae
擱	搁	gē	to place, to put aside, to shelve, to bear, to stand, to endure
擱置	搁置	gēzhì	to shelve, to set aside
擱淺	搁浅	gē qiǎn	to be stranded (of ship), to run aground, fig. to run into difficulties and stop
割	割	gē	hack, cut, fissure, slit, crop, slice, mow, carbonado
歌劇	歌剧	gējù	revue, melodrama, opus, operatic, opera
歌頌	歌颂	gēsòng	to sing the praises of, to extol, to eulogize
歌舞	歌舞	gēwǔ	singing and dancing
歌詠	歌咏	gēyǒng	singing
革命	革命	gémìng	revolt
格	格	gé	lattice, grid, squares
格格不入	格格不入	gégé-bùrù	(idiom) inharmonious, incompatible
格局	格局	géjú	pattern, setup, structure
格式	格式	géshi	pattern, form, a style, a format, etiquette, format, style, the form of characters or letters
隔閡	隔阂	géhé	misunderstanding, estrangement, (language etc) barrier
隔離	隔离	gélí	keep apart, segregate, isolate
個頭兒	个头儿	gètóur5	size, height, stature
個案	个案	gèàn	case (in law/etc.)
各奔前程	各奔前程	gèbèn-qiánchéng	each goes his own way (idiom), each person has his own life to lead
各式各樣	各式各样	gèshì-gèyàng	various, kinds, sundry, all sorts, assorted
根深蒂固	根深蒂固	gēnshēn-dìgù	deep-rooted (problem etc)
根源	根源	gēnyuán	rootage, parent, origin, spore, source, rootstock, germ, springhead, cradle, whence, paternity, spawn, mother, root, seed, fount, fountainhead
根基	根基	gēnjī	foundation
根治	根治	gēnzhì	to bring under permanent control, to effect a radical cure
跟上	跟上	gēn shàng	to catch up with, to keep pace with
跟蹤	跟踪	gēnzōng	track
跟不上	跟不上	gēnbushàng	not able to keep up with
更衣室	更衣室	gēngyīshì	change room, dressing room, locker room, toilet
更改	更改	gēnggǎi	change, alter
耕地	耕地	gēngdì	arable land, to plow land
耿直	耿直	gěngzhí	honest, frank, candid
工地	工地	gōngdì	construction site
工會	工会	gōnghuì	trade/labor union
工商界	工商界	gōngshāngjiè	industrial and commercial circles
工科	工科	gōngkē	engineering as an academic subject
工序	工序	gōngxù	working procedure, process
工整	工整	gōngzhěng	fine work, carefully and neatly done
工作量	工作量	gōngzuòliàng	workload, volume of work
公車	公车	gōngchē	bus, cars provided by an organization
公安局	公安局	gōngānjú	public security bureau (government office similar in function to a police station)
公道	公道	gōngdao	justice, fairness, public highway, fair, equitable
公費	公费	gōngfèi	at public expense
公共場所	公共场所	gōnggòng chǎngsuǒ	Public places
公關	公关	gōngguān	person in public relations
弓	弓	gōng	surname Gong, a bow (weapon), CL:張|张[zhang1], to bend, to arch (one's back etc)
公函	公函	gōnghán	official letter
公積金	公积金	gōngjījīn	official reserves, accumulated fund
公開信	公开信	gōngkāixìn	open letter
公墓	公墓	gōngmù	public cemetery
公款	公款	gōngkuǎn	public money
公僕	公仆	gōngpú	public servant, CL:個|个[ge4],位[wei4]
公頃	公顷	gōngqǐng	m.[standard]
公然	公然	gōngrán	openly, publicly, undisguised
公示	公示	gōngshì	Publicity
公事	公事	gōngshì	public affairs, official (matters, duties etc)
公益	公益	gōngyì	public good/welfare
公務	公务	gōngwù	official business
公益性	公益性	gōngyì xìng	Public welfare
公立	公立	gōnglì	public, established and maintained by the government
公寓	公寓	gōngyù	flats, apartment house, public housing
公約	公约	gōngyuē	convention, pact, joint pledge
公用	公用	gōngyòng	be for public use
公證	公证	gōngzhèng	notarization, notarized, acknowledgement
功	功	gōng	meritorious service, exploit, achievement, result, effect, skill
功臣	功臣	gōngchén	minister who has given outstanding service
功底	功底	gōngdǐ	training in the basic skills, knowledge of the fundamentals
公職	公职	gōngzhí	public office/employment
功力	功力	gōnglì	effect, efficacy, craftsmanship, skill, capability, touch
功勞	功劳	gōngláo	contribution, meritorious service, credit
功效	功效	gōngxiào	efficacy, effect
攻讀	攻读	gōngdú	to major (in a field), to study a specialty to obtain a higher degree
攻	攻	gōng	assault, attack, censure, accuse
攻關	攻关	gōng guān	to storm a strategic pass, fig. to tackle a key problem
功率	功率	gōnglǜ	rate of work, power (output)
供不應求	供不应求	gōngbùyìngqiú	supply does not meet demand
供	供	gōng	supply, feed, be for (the use/convenience of)
供暖	供暖	gōngnuǎn	Heating
宮殿	宫殿	gōngdiàn	palatium, dome, alcazar, palace
供求	供求	gōngqiú	supply and demand (economics)
宮廷	宫廷	gōngtíng	royal, royal/imperial court, cupbearer, court, royal or imperial court, royal court, imperial court, palace
恭維	恭维	gōngwei	to praise, to speak highly of, compliment, praise
恭喜	恭喜	gōngxǐ	congratulate
拱	拱	gǒng	to cup one's hands in salute, to surround, to arch, to dig earth with the snout, arched
共鳴	共鸣	gòngmíng	sympathy, fellow feeling, vibration, consonance, resonance, sympathetic response
共識	共识	gòngshí	wavelength, common understanding, consensus
共性	共性	gòngxìng	overall character
供奉	供奉	gòngfèng	to consecrate, to enshrine and worship, an offering (to one's ancestors), a sacrifice (to a God)
共同體	共同体	gòngtóngtǐ	community, integration
勾畫	勾画	gōuhuà	to sketch out, to delineate
勾	勾	gōu	surname Gou, to attract, to arouse, to tick, to strike out, to delineate, to collude, variant of 鉤|钩[gou1], hook, see 勾當|勾当[gou4 dang4]
勾結	勾结	gōujié	to collude with, to collaborate with, to gang up with
鉤	钩	gōu	to hook, to sew, to crochet, hook, check mark or tick, window catch
鉤子	钩子	gōuzi	hook
構思	构思	gòusī	to design, to plot, to plan out, to compose, to draw a mental sketch, conception, plan, idea, composition
構想	构想	gòuxiǎng	proposition
購	购	gòu	buy
夠嗆	够呛	gòuqiàng	unbearable, terrible, enough, unlikely
估算	估算	gūsuàn	assessment, evaluation
沽名釣譽	沽名钓誉	gūmíng-diàoyù	to angle for fame (idiom), to fish for compliments
孤單	孤单	gūdān	lone, lonely, loneliness
孤立	孤立	gūlì	isolate, isolated
孤零零	孤零零	gūlínglíng	lone, isolated and without help, all alone, solitary
孤陋寡聞	孤陋寡闻	gūlòu-guǎwén	ignorant and inexperienced, ill-informed and narrow-minded
辜負	辜负	gūfù	to fail to live up (to expectations), unworthy (of trust), to let down, to betray (hopes), to disappoint
古董	古董	gǔdǒng	old fogey, curio, antique, virtu, vertu, bygone, bric-a-brac
古怪	古怪	gǔguài	eccentric, grotesque, oddly, queer
古跡	古迹	gǔjì	places of historic interest, historical sites, CL:個|个[ge4]
古今中外	古今中外	gǔjīn-zhōngwài	at all times and in all places (idiom)
古樸	古朴	gǔpǔ	simple and unadorned (of art, architecture etc)
古人	古人	gǔrén	forefathers, our forefather, ancient, ancients, antiquity
股份	股份	gǔfèn	equity, concern, share, stake, stock, interest
股民	股民	gǔmín	stock investor, share trader
股市	股市	gǔshì	stock exchange, securities market, stock market, stock_market
骨幹	骨干	gǔgàn	diaphysis (long segment of a bone), fig. backbone
骨折	骨折	gǔzhé	to suffer a fracture, (of a bone) to break, fracture
骨氣	骨气	gǔqì	unyielding character, courageous spirit, integrity, moral backbone
鼓舞	鼓舞	gǔwǔ	inspire, hearten, dance for joy, rejoice
鼓動	鼓动	gǔdòng	to agitate, to arouse, to instigate, to encite
固然	固然	gùrán	conj.: though, although
固執	固执	gùzhi	obstinate, stubborn
故	故	gù	conj.: hence, so, therefore, as a result
顧不得	顾不得	gùbude	unable to change sth, unable to deal with
顧不上	顾不上	gùbushàng	cannot attend to or manage
顧及	顾及	gù jí	study, give consideration to, consider, take into account, consult, attend to, allow_for
顧慮	顾虑	gùlǜ	misgivings, apprehensions
雇	雇	gù	to employ, to hire, to rent
顧全大局	顾全大局	gùquándàjú	to take the big picture into consideration (idiom), to work for the benefits of all
雇傭	雇佣	gùyōng	to employ, to hire
雇員	雇员	gùyuán	employee
雇主	雇主	gùzhǔ	gaffer, beanfeast, master, governor, boss, employer, hirer
瓜分	瓜分	guāfēn	to partition, to divide up
瓜子	瓜子	guāzǐ	melon seeds
寡婦	寡妇	guǎfu	widow
颳風	刮风	guāfēng	to be windy
掛鉤	挂钩	guàgōu	hook (on which to hang sth), to couple, to link together, to establish contact with, hook, coupling links (e.g. between two railway coaches)
掛號	挂号	guà hào	to register (at a hospital etc), to send by registered mail
掛念	挂念	guàniàn	concerned
掛失	挂失	guà shī	to report the loss of something
乖	乖	guāi	be at variance, well-behaved, obedient, oppose
乖巧	乖巧	guāiqiǎo	clever (child), smart, lovable, cute
拐彎	拐弯	guǎiwān	to go round a curve, to turn a corner, fig. a new direction
拐杖	拐杖	guǎizhàng	crutches, crutch, walking stick
怪不得	怪不得	guàibude	no wonder!, so that's why!
怪物	怪物	guàiwu	monster, freak, eccentric person
怪異	怪异	guàiyì	monstrous, strange, strange phenomenon
關掉	关掉	guāndiào	to switch off, to shut off
關節	关节	guānjié	joint
關稅	关税	guānshuì	customs duty, tariff
關頭	关头	guāntóu	juncture, moment
關照	关照	guānzhào	to take care, to keep an eye on, to look after, to tell, to remind
觀測	观测	guāncè	observe, survey
觀感	观感	guāngǎn	one's impressions, observations
觀摩	观摩	guānmó	view and emulate
觀賞	观赏	guānshǎng	enjoy sight of, see and enjoy
觀望	观望	guānwàng	straddle, pussyfoot, look on (from sidelines), swiver, hesitate, waver, look on, wait and see
官兵	官兵	guānbīng	officers and men, government troops
官吏	官吏	guānlì	bureaucrat, official
官僚	官僚	guānliáo	bureaucrats, bureaucracy
官僚主義	官僚主义	guānliáozhǔyì	bureaucracy
官員	官员	guānyuán	beg, official, mandarinate, administrative official, office-bearer, officer, bureaucrat, placeman, federal agent, government officials, agent, officialism, functionary, director, officeholder, officialdom, myrmidon
棺材	棺材	guāncai	coffin, CL:具[ju4],口[kou3]
管家	管家	guǎnjiā	housekeeper, butler, manage one's household
管教	管教	guǎnjiào	subject sb. to discipline, restrain and instruct
管理費	管理费	guǎnlǐfèi	management fee
管轄	管辖	guǎnxiá	to administer, to have jurisdiction (over)
管用	管用	guǎn yòng	efficacious, useful
管子	管子	guǎnzi	Guanzi or Guan Zhong 管仲 (-645 BC), famous politician of Qi 齊國|齐国 of Spring and Autumn period, Guanzi, classical book containing writings of Guan Zhong and his school, tube, pipe, drinking straw, CL:根[gen1]
貫徹	贯彻	guànchè	carry out, implement
貫穿	贯穿	guànchuān	to run through, a connecting thread from beginning to end, to link
貫通	贯通	guàntōng	to link up, to thread together
慣	惯	guàn	accustomed to, used to, indulge, to spoil (a child)
慣例	惯例	guànlì	custom, pattern, practice, manner, tradition, routine, law, wont, habit, codex, ritual, convention, convenance, consuetude, usual practice, rule, use, observance, institution, modus operandi, precedent, conventionality, rite, praxis, natural law
慣性	惯性	guànxìng	inertia
灌	灌	guàn	to irrigate, to pour, to install (software), to record (music)
灌溉	灌溉	guàngài	irrigate
灌輸	灌输	guànshū	to imbue with, to inculcate, to instill into, to teach, to impart, to channel water to another place
罐	罐	guàn	can, jar, pot, variant of 罐[guan4]
罐頭	罐头	guàntou	tin, can, canned goods
光彩	光彩	guāngcǎi	luster, splendor, radiance, brilliance
光碟	光碟	guāngdié	compact disk, compact disc, CD ROM, compact_disk, CD
光顧	光顾	guānggù	to visit (as a customer)
光滑	光滑	guānghua	glossy, sleek, smooth
光環	光环	guānghuán	halo, ring of light
光纜	光缆	guānglǎn	optical cable
光芒	光芒	guāngmáng	ray_of_light, rays of light, brilliant ray, radiance
光明磊落	光明磊落	guāngmíng-lěiluò	open and candid (idiom), straightforward and upright
光澤	光泽	guāngzé	Guangze county in Nanping 南平[Nan2 ping2] Fujian, luster, gloss
廣義	广义	guǎngyì	broad sense
歸根到底	归根到底	guīgēndàodǐ	after all, in the final analysis, ultimately
歸還	归还	guīhuán	to return sth, to revert
歸結	归结	guījié	to sum up, to conclude, in a nutshell, the end (of a story)
歸來	归来	guīlái	come back, be back, return, go back to
歸納	归纳	guīnà	sum up, conclude, induce
歸屬	归属	guīshǔ	belong to
歸宿	归宿	guīsù	place to return to, home, final destination, ending
龜	龟	guī	tortoise, turtle
規格	规格	guīgé	quality requirements, requirement, specification, standard, spec, criterion, measure, touchstone, specifications
規矩	规矩	guīju	rule, custom
閨女	闺女	guīnü	maiden, unmarried woman, daughter
瑰寶	瑰宝	guībǎo	gem, (fig.) rare and valuable item, gem, treasure
軌跡	轨迹	guǐjì	track, orbit, trail, locus
