阿拉伯语	阿拉伯語	Ā lā bó yǔ	Arabic (language);  
简短	簡短	jiǎn duǎn	brief; short-duration;  
简化	簡化	jiǎn huà	to simplify;  
简洁	簡潔	jiǎn jié	concise; succinct; pithy;  
简陋	簡陋	jiǎn loù	simple and crude;  
简体字	簡體字	jiǎn tǐ zì	simplified Chinese character, as opposed to traditional Chinese character 繁體字|繁体字[fan2 ti3 zi4];  
简要	簡要	jiǎn yào	concise; brief;  
简易	簡易	jiǎn yì	simple and easy; simplistic; simplicity;  
见解	見解	jiàn jiě	opinion; view; understanding;  
见钱眼开	見錢眼開	jiàn qián yǎn kāi	to open one's eyes wide at the sight of profit (idiom); thinking of nothing but personal gain; money-grubbing;  
见仁见智	見仁見智	jiàn rén jiàn zhì	opinions differ (idiom);  
见识	見識	jiàn shi	knowledge and experience; to increase one's knowledge;  
见外	見外	jiàn wài	to regard somebody as an outsider;  
见效	見效	jiàn xiào	to have the desired effect;  
见义勇为	見義勇為	jiàn yì yǒng wéi	to see what is right and act courageously (idiom, from Analects); to stand up bravely for the truth; acting heroically in a just cause;  
见证	見證	jiàn zhèng	to be witness to; witness; evidence;  
间谍	間諜	jiàn dié	spy;  
间断	間斷	jiàn duàn	disconnected; interrupted; suspended;  
间隔	間隔	jiàn gé	compartment; gap; interval; to divide;  
间隙	間隙	jiàn xì	interval; gap; clearance;  
建交	建交	jiàn jiāo	to establish diplomatic relations;  
建树	建樹	jiàn shù	to make a contribution; to establish; to found; contribution;  
建筑师	建築師	jiàn zhù shī	architect;  
建筑物	建築物	jiàn zhù wù	building; structure; edifice;  
贱	賤	jiàn	inexpensive; lowly;  
健美	健美	jiàn měi	healthy and beautiful; to do fitness exercises; abbr. for 健美運動|健美运动[jian4 mei3 yun4 dong4];  
健壮	健壯	jiàn zhuàng	robust; healthy; sturdy;  
溅	濺	jiàn	to splash;  
鉴别	鑒彆	jiàn bié	to differentiate; to distinguish;  
鉴赏	鑒賞	jiàn shǎng	to appreciate;  
鉴于	鑒於	jiàn yú	in view of; seeing that; considering; whereas;  
姜	薑	Jiāng, Jiāng, jiāng	surname Jiang;  ginger;  
僵	僵	jiāng, jiāng	variant of 僵[jiang1];  
僵化	僵化	jiāng huà	to become rigid;  
僵局	僵局	jiāng jú	impasse; deadlock;  
讲解	講解	jiǎng jiě	to explain;  
讲述	講述	jiǎng shù	to talk about; to narrate; to give an account;  
讲学	講學	jiǎng xué	to lecture (on branch of learning);  
奖杯	奬杯	jiǎng bēi	trophy cup;  
奖牌	奬牌	jiǎng pái	medal (awarded as a prize);  
奖品	奬品	jiǎng pǐn	award; prize;  
奖项	奬項	jiǎng xiàng	award; prize; CL:項|项[xiang4];  
降临	降臨	jiàng lín	to descend; to arrive; to come;  
交叉	交叉	jiāo chā	to cross; to intersect; to overlap;  
交锋	交鋒	jiāo fēng	to cross swords; to have a confrontation (with sb);  
交付	交付	jiāo fù	to hand over; to deliver;  
交集	交集	jiāo jí	intersection (symbol ∩) (set theory);  
交接	交接	jiāo jiē	(of two things) to come into contact; to meet; to hand over to; to take over from; to associate with; to have friendly relations with; to have sexual intercourse;  
交界	交界	jiāo jiè	common boundary; common border;  
交纳	交納	jiāo nà	to pay (taxes or dues);  
交情	交情	jiāo qing	friendship; friendly relations;  
交涉	交涉	jiāo shè	to negotiate; relating to;  
交谈	交談	jiāo tán	to discuss; to converse; chat; discussion;  
交替	交替	jiāo tì	to replace; alternately; in turn;  
交头接耳	交頭接耳	jiāo toú jiē ěr	to whisper to one another's ear;  
交响乐	交響樂	jiāo xiǎng yuè	symphony;  
郊外	郊外	jiāo wài	outskirts;  
郊游	郊遊	jiāo yoú	to go for an outing; to go on an excursion;  
浇	澆	jiāo	to pour liquid; to irrigate (using waterwheel); to water; to cast (molten metal); to mold;  
娇惯	嬌慣	jiāo guàn	to pamper; to coddle; to spoil;  
娇气	嬌氣	jiāo qì	delicate; squeamish; finicky;  
胶囊	膠囊	jiāo náng	capsule (pharm.); caplet;  
胶片	膠片	jiāo piàn	(photographic) film;  
焦	焦	Jiāo, jiāo	surname Jiao;  burnt; scorched; charred; worried; anxious; coke;  
焦急	焦急	jiāo jí	anxiety; anxious;  
焦距	焦距	jiāo jù	focal length; focal distance;  
焦虑	焦慮	jiāo lǜ	anxious; worried; apprehensive;  
焦躁	焦躁	jiāo zào	fretful; impatient;  
礁石	礁石	jiāo shí	reef;  
嚼	嚼	jiáo	to chew; also pr. [jue2];  
角落	角落	jiǎo luò	nook; corner;  
狡猾	狡猾	jiǎo huá	crafty; cunning; sly;  
绞	絞	jiǎo	to twist (strands into a thread); to entangle; to wring; to hang (by the neck); to turn; to wind; classifier for skeins of yarn;  
矫正	矯正	jiǎo zhèng	to correct; to rectify (e.g. a physical defect such as hearing or vision); to cure; rectification; correction; to straighten;  
搅	攪	jiǎo	to disturb; to annoy; to mix; to stir;  
搅拌	攪拌	jiǎo bàn	to stir; to agitate;  
缴	繳	jiǎo	to hand in; to hand over; to seize;  
缴费	繳費	jiǎo fèi	to pay a fee;  
缴纳	繳納	jiǎo nà	to pay (taxes etc);  
叫板	叫闆	jiào bǎn	to signal the musicians (in Chinese opera, by prolonging a spoken word before attacking a song); (coll.) to challenge;  
叫好	叫好	jiào hǎo	to applaud; to cheer;  
轿车	轎車	jiào chē	enclosed carriage for carrying passengers; motor carriage; car or bus; limousine; CL:部[bu4],輛|辆[liang4];  
较劲	較勁	jiào jìn	to match one's strength with; to compete; more competitive; to set oneself against sb; disobliging; to make a special effort;  
较量	較量	jiào liàng	to have a contest with sb; to cross swords; to measure up against; to compete with; to haggle; to quibble;  
教科书	教科書	jiào kē shū	textbook; CL:本[ben3];  
教条	教條	jiào tiáo	creed; doctrine; religious dogma;  
教养	教養	jiào yǎng	to train; to educate; to bring up; to nurture; education; culture; upbringing; early conditioning;  
阶层	階層	jiē céng	hierarchy; stratum; social class;  
阶级	階級	jiē jí	(social) class; CL:個|个[ge4];  
阶梯	階梯	jiē tī	flight of steps; (fig.) a means of advancement; stepping stone;  
皆	皆	jiē	all; each and every; in all cases;  
结	結	jiē, jié	(of a plant) to produce (fruit or seeds); Taiwan pr. [jie2];  knot; sturdy; bond; to tie; to bind; to check out (of a hotel);  
结果	結果	jiē guǒ, jié guǒ	to bear fruit; CL:個|个[ge4];  outcome; result; conclusion; in the end; as a result; to kill; to dispatch;  
接班	接班	jiē bān	to take over (from those working the previous shift); to take over (in a leadership role etc); to succeed sb;  
接班人	接班人	jiē bān rén	successor;  
接二连三	接二連三	jiē èr lián sān	one after another (idiom); in quick succession;  
接轨	接軌	jiē guǐ	railtrack connection; to integrate into sth; to dock; to connect; to be in step with; to bring into line with; to align;  
接济	接濟	jiē jì	to give material assistance to;  
接见	接見	jiē jiàn	to receive sb; to grant an interview;  
接力	接力	jiē lì	relay;  
接纳	接納	jiē nà	to admit (to membership);  
接手	接手	jiē shoǔ	to take over (duties etc); catcher (baseball etc);  
接送	接送	jiē sòng	picking up and dropping off; greeting and sending off; shuttle (transport service);  
接替	接替	jiē tì	to replace; to take over (a position or post);  
接听	接聽	jiē tīng	to answer the phone;  
接通	接通	jiē tōng	to connect; to put through;  
揭发	揭發	jiē fā	to expose; to bring to light; to disclose; revelation;  
揭露	揭露	jiē lù	to expose; to unmask; to ferret out; to disclose; disclosure;  
揭示	揭示	jiē shì	to show; to make known;  
揭晓	揭曉	jiē xiǎo	to announce publicly; to publish; to make known; to disclose;  
节俭	節儉	jié jiǎn	frugal; economical;  
节气	節氣	jié qi	solar term;  
节水	節水	jié shuǐ	to save water;  
节衣缩食	節衣縮食	jié yī suō shí	to save on food and clothing (idiom); to live frugally;  
劫	劫	jié, jié, jié, jié	to rob; to plunder; to seize by force; to coerce; calamity; abbr. for kalpa 劫波[jie2 bo1];  
劫持	劫持	jié chí	to kidnap; to hijack; to abduct; to hold under duress;  
洁净	潔淨	jié jìng	clean; to cleanse;  
结冰	結冰	jié bīng	to freeze;  
结晶	結晶	jié jīng	to crystallize; crystallization; crystal; crystalline; (fig.) the fruit (of labor etc);  
结局	結局	jié jú	conclusion; ending;  
结识	結識	jié shí	to get to know sb; to meet sb for the first time;  
结尾	結尾	jié wěi	ending; coda; to wind up;  
截	截	jié	to cut off (a length); to stop; to intercept; section; chunk; length;  
截然不同	截然不同	jié rán bù tóng	entirely different; different as black and white;  
竭尽全力	竭盡全力	jié jìn quán lì	to spare no effort (idiom); to do one's utmost;  
竭力	竭力	jié lì	to do one's utmost;  
解答	解答	jiě dá	answer; explanation; solution (to a math equation);  
解读	解讀	jiě dú	to decipher; to decode; to interpret;  
解雇	解雇	jiě gù	to fire; to sack; to dismiss; to terminate employment;  
解救	解救	jiě jiù	to rescue; to help out of difficulties; to save the situation;  
解剖	解剖	jiě poū	to dissect (an animal); to analyze; anatomy;  
解散	解散	jiě sàn	to dissolve; to disband;  
解体	解體	jiě tǐ	to break up into components; to disintegrate; to collapse; to crumble;  
解脱	解脫	jiě tuō	to untie; to free; to absolve of; to get free of; to extirpate oneself; (Buddhism) to free oneself of worldly worries;  
解围	解圍	jiě wéi	to lift a siege; to help sb out of trouble or embarrassment;  
解析	解析	jiě xī	to analyze; to resolve; (math.) analysis; analytic;  
介入	介入	jiè rù	to intervene; to get involved;  
介意	介意	jiè yì	to care about; to take offense; to mind;  
介于	介於	jiè yú	between; intermediate; to lie between;  
戒备	戒備	jiè bèi	to take precautions; to guard against (emergency);  
戒烟	戒煙	jiè yān	to give up smoking;  
戒指	戒指	jiè zhi	(finger) ring;  
届时	屆時	jiè shí	when the time comes; at the scheduled time;  
界定	界定	jiè dìng	definition; to delimit;  
界限	界限	jiè xiàn	boundary; marginal;  
界线	界綫	jiè xiàn	limits; bounds; dividing line;  
借口	藉口	jiè koǔ	to use as an excuse; on the pretext; excuse; pretext;  
借条	藉條	jiè tiáo	receipt for a loan; IOU;  
借用	藉用	jiè yòng	to borrow sth for another use; to borrow an idea for one's own use;  
借助	藉助	jiè zhù	to draw support from; with the help of;  
金属	金屬	jīn shǔ	metal; CL:種|种[zhong3];  
金子	金子	Jīn zǐ, jīn zi	Kaneko (Japanese surname);  gold;  
金字塔	金字塔	jīn zì tǎ	pyramid (building or structure);  
津津有味	津津有味	jīn jīn yoǔ wèi	with keen interest pleasure (idiom); with gusto; to relish; eagerly; with great interest;  
津贴	津貼	jīn tiē	allowance;  
筋	筋	jīn	muscle; tendon;  
禁不住	禁不住	jīn bu zhù	can't help it; can't bear it;  
仅次于	僅次於	jǐn cì yú	second only to...; (in second place) preceded only by...;  
尽	盡	jǐn, jìn	to the greatest extent; (when used before a noun of location) furthest or extreme; to be within the limits of; to give priority to;  to use up; to exhaust; to end; to finish; to the utmost; exhausted; finished; to the limit (of sth); all; entirely;  
尽早	盡早	jǐn zǎo	as early as possible;  
紧凑	緊湊	jǐn coù	compact; terse; tight (schedule);  
紧接着	緊接著	jǐnjiēzháo	Follow
紧迫	緊迫	jǐn pò	pressing; urgent;  
紧缺	緊缺	jǐn quē	in short supply; scarce;  
紧缩	緊縮	jǐn suō	(economics) to reduce; to curtail; to cut back; to tighten; austerity; tightening; crunch;  
锦旗	錦旗	jǐnqí	Banner
谨慎	謹慎	jǐn shèn	cautious; prudent;  
尽情	盡情	jìn qíng	as much as one likes;  
尽头	盡頭	jìn toú	end; extremity; limit;  
进场	進場	jìn chǎng	to go into; to enter an arena (e.g. sporting);  
进程	進程	jìn chéng	process; course;  
进出	進齣	jìn chū	to enter or exit; to go through;  
进出口	進齣口	jìn chū koǔ	import and export;  
进度	進度	jìn dù	pace; tempo; degree of progress (on project); work schedule;  
进而	進而	jìn ér	and then (what follows next);  
进修	進修	jìn xiū	to undertake advanced studies; to take a refresher course;  
近年来	近年來	jìn nián lái	for the past few years;  
劲头	勁頭	jìn toú	enthusiasm; zeal; vigor; strength;  
晋升	晉升	jìn shēng	to promote to a higher position;  
浸泡	浸泡	jìn pào	to steep; to soak; to immerse;  
禁忌	禁忌	jìn jì	taboo; contraindication (medicine); to abstain from;  
禁区	禁區	jìn qū	restricted area; forbidden region;  
茎	莖	jīng	stalk; stem; CL:條|条[tiao2];  
经	經	Jīng, jīng	surname Jing;  classics; sacred book; scripture; to pass through; to undergo; to bear; to endure; warp (textile); longitude; menstruation; channel (TCM); abbr. for economics 經濟|经济[jing1 ji4];  
经度	經度	jīng dù	longitude;  
经久不息	經久不息	jīngjǐubùxī	Last forever
经贸	經貿	jīng mào	trade;  
经商	經商	jīng shāng	to trade; to carry out commercial activities; in business;  
经受	經受	jīng shoù	to undergo (hardship); to endure; to withstand;  
荆棘	荊棘	jīng jí	thistles and thorns; brambles; thorny undergrowth;  
惊	驚	jīng	to start; to be frightened; to be scared; alarm;  
惊诧	驚詫	jīng chà	to be surprised; to be amazed; to be stunned;  
惊慌	驚慌	jīng huāng	to panic; to be alarmed;  
惊慌失措	驚慌失措	jīng huāng shī cuò	to lose one's head out of fear (idiom);  
惊奇	驚奇	jīng qí	to be amazed; to be surprised; to wonder;  
惊叹	驚嘆	jīng tàn	to exclaim in admiration; a gasp of surprise;  
惊天动地	驚天動地	jīng tiān dòng dì	world-shaking (idiom);  
惊险	驚險	jīng xiǎn	thrilling; a thriller;  
惊心动魄	驚心動魄	jīng xīn dòng pò	shaking one to the core; extremely disturbing; hair-raising (idiom);  
惊醒	驚醒	jīng xǐng	to rouse; to be woken by sth; to wake with a start; to sleep lightly;  
惊讶	驚訝	jīng yà	amazed; astonished; to surprise; amazing; astonishment; awe;  
晶莹	晶瑩	jīng yíng	sparkling and translucent;  
兢兢业业	兢兢業業	jīng jīng yè yè	cautious and conscientious;  
精打细算	精打細算	jīng dǎ xì suàn	meticulous planning and careful accounting (idiom);  
精华	精華	jīng huá	best feature; most important part of an object; quintessence; essence; soul;  
精简	精簡	jīng jiǎn	to simplify; to reduce;  
精练	精練	jīng liàn	(textiles) to scour; to degum (silk); variant of 精煉|精炼[jing1 lian4];  
精妙	精妙	jīng miào	exquisite; fine and delicate (usu. of works of art);  
精明	精明	jīng míng	astute; shrewd;  
精疲力竭	精疲力竭	jīng pí lì jié	spirit weary, strength exhausted (idiom); spent; drained; washed out;  
精确	精確	jīng què	accurate; precise;  
精神病	精神病	jīng shén bìng	mental disorder; psychosis;  
精髓	精髓	jīng suǐ	marrow; pith; quintessence; essence;  
精通	精通	jīng tōng	to be proficient in; to master (a subject);  
精细	精細	jīng xì	fine; meticulous; careful;  
精心	精心	jīng xīn	with utmost care; fine; meticulous; detailed;  
